imdb_id,Movie,Release Year,Rating,# of Ratings,Genre,Awards,Oscar Ws,Oscar Ns,Other Ws,Other Ns,Director,Cast,Description
tt2015381,Guardians of the Galaxy ,2014,8.4,"275,806","Action, Adventure, Sci-Fi",2 wins & 3 nominations.,0,0,2,3,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",A group of space criminals must work together to stop the fanatical villain Ronan the Accuser from destroying the galaxy.
tt2103281,Dawn of the Planet of the Apes ,2014,8.1,"121,611","Action, Drama, Sci-Fi",1 nomination.,0,0,0,1,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell","Ten years after a pandemic disease, apes who have survived it are drawn into battle with a group of human survivors."
tt1631867,Edge of Tomorrow ,2014,8,"210,827","Action, Sci-Fi",5 nominations.,0,0,0,5,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","A military officer is brought into an alien war against an extraterrestrial enemy who can reset the day and know the future. When this officer is enabled with the same power, he teams up with a Special Forces warrior to try and end the war."
tt1843866,Captain America: The Winter Soldier ,2014,7.9,"275,450","Action, Adventure, Sci-Fi",1 win & 9 nominations.,0,0,1,9,"Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",Steve Rogers struggles to embrace his role in the modern world and battles a new threat from old history: the Soviet agent known as the Winter Soldier.
tt2883512,Chef ,2014,7.3,"54,571",Comedy,N/A,0,0,0,0,Jon Favreau,"Jon Favreau, John Leguizamo, Bobby Cannavale, Emjay Anthony","A chef who loses his restaurant job starts up a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family."
tt2294449,22 Jump Street ,2014,7.3,"111,873","Action, Comedy, Crime",3 wins & 6 nominations.,0,0,3,6,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
tt1972571,A Most Wanted Man ,2014,7.1,"14,373",Thriller,1 nomination.,0,0,0,1,Anton Corbijn,"Grigoriy Dobrygin, Philip Seymour Hoffman, Homayoun Ershadi, Mehdi Dehbi","A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror."
tt0831387,Godzilla ,2014,6.7,"198,839","Action, Sci-Fi, Thriller",3 wins & 10 nominations.,0,0,3,10,Gareth Edwards,"Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston","The world's most famous monster is pitted against malevolent creatures who, bolstered by humanity's scientific arrogance, threaten our very existence."
tt1267297,Hercules ,2014,6.2,"55,999","Action, Adventure",2 nominations.,0,0,0,2,Brett Ratner,"Dwayne Johnson, Ian McShane, John Hurt, Rufus Sewell","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
tt1646971,How to Train Your Dragon 2 ,2014,8.1,"104,750","Animation, Action, Adventure",1 win & 4 nominations.,0,0,1,4,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
tt1205537,Jack Ryan: Shadow Recruit ,2014,6.2,"68,367","Action, Mystery, Thriller",2 nominations.,0,0,0,2,Kenneth Branagh,"Chris Pine, Keira Knightley, Kevin Costner, Kenneth Branagh","Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack."
tt3060952,Justice League: War ,2014,7.2,"8,290","Animation, Action, Adventure",N/A,0,0,0,0,Jay Oliva,"Sean Astin, Zach Callison, Christopher Gorham, Justin Kirk",The world's finest heroes found the Justice League in order to stop an alien invasion of Earth.
tt1924435,Let's Be Cops ,2014,6.7,"26,660",Comedy,N/A,0,0,0,0,Luke Greenfield,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev","Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted \heroes\"" get tangled in a real life web of mobsters and dirty detectives"
tt1587310,Maleficent ,2014,7.1,"146,069","Action, Adventure, Family",2 wins & 9 nominations.,0,0,2,9,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville","A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
